Post,ContainsOrNot
Q: eat a dick you complain about texas all day shove it it! you just got told your suck a dick! so eat one<br>A: ummmm your great,1
Q: Even if Tabitha was fake  she wouldn&#39;t hurt anyone! She can&#39;t even yell at me or control me. She&#39;s too sweet&amp;nice! And people love her for personality. However she has both<3 I love you tabilicious<3<br>A: hahahahahahaha  its a curse i wish i could yell at you :) ha. i love you to :) annnddd thankyou,0
Q: Ever been called a whore?<br>A: oh man  and it hurt sooo bad ;) haha people who say that dont no me.,1
Q: ever had sex?<br>A: haha nope.,1
Q: Ey r u Cheyenne? I thought u live in Montana?????<br>A: nope tabitha jai locascio idk who she is but she is a fake. :/ i use to live in idaho but i moved to texas,0
Q: fake doesn&#39;t mean you look pretty?<br>A: okay  welll the question that was asked was if i was fake  as in useing someone else pictures off the internet. and really i take that as a compliment because all the people who are ''fake'' i think look reall pretty soo stfu.,1
Q: Fake!<br>A: hahaha okay  1. i dont even look fake. 2. ill put up proof  3. your lame 4. i have family who commented my fs saying i wasnt sooo? lmao,1
Q: Fakeeeeee????<br>A: hahhaha no sorry.,1
Q: Fakeeeeee????<br>A: nope  dont believe me add me on facebook and talk to my family  go to my myspace and look at my billions of pictures of me with friends  or my taggged pics,0
Q: Fakeeeeee????<br>A: nope  i pretty much have proof on my facebook. but hahah im realy :),1
Q: Fakeeeeee????<br>A: nope. i pretty much already have proof  :),1
Q: Fave song?<br>A: mmmmmmmmm idkkkkkk i cant choose. possible something from mayday parade or plug in stereo,0
Q: friends or god?<br>A: friends,0
Q: GASP. He told me): I could cry.<br>A: haha what?,0
Q: gay or lesbians?<br>A: straight sorry :),0
Q: girl  your perfect. from your eyes  to your smile  your all i think about[: i loved you from the day we met. your life is amazing ~chris~<br>A: :) awhhhhhh <3 thankyou!,0
Q: Girls just wanna be you Tabi since they&#39;re using your pictures. You&#39;re obviously hot (; SHE&#39;S REAL DUMB FUCKS.<br>A: hahaahhaha  im starting to take it as a compliment lmao hahahah. :DDDDDDD,1
Q: God that was a fun night  I want to relive it...we danced in wall mart to betoven bahahaha<br>A: hahaha yeah. that beard guy haha. we never saw him but still.r your a good dancer :D haha,0
Q: going to Idaho and go to see my Idaho friends is the same thing. So pick a different wish<br>A: hmmmm  then to of never of moved  or to be happy.,0
Q: Hah wow if your so sweet and innocent why are you always like stfu and wtf. I don&#39;t buy that I&#39;m standing up for myself shit you can stand up without being a bitch. If you don&#39;t like what people say don&#39;t post unless your just looking for attention. Damn.<br>A: haha okay jordin,1
Q: Haha  i knowww.r i was kiiddding!<br>A: hahahaha okay good i was like D: ahhh,0
Q: Haha and we both sat in that chair in Starbucks and we were taking pictures and everyone was staring at us<br>A: g-r-e-a-t.r it was a small chair  i was like sitting in your lap.,0
Q: haha i dont have a question just wanted to say hi(:<br>A: well hi :),0
Q: haha i love how in your bio you wrote &quot;Cyberbullying=jail&quot; <3<br>A: got it from you :),0
Q: HAHA jk i love you tabi(: (i tried to scare you) hahahhaa.<br>A: jordin!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! rudeo did you say the other mean things to?,0
Q: Hahaha  it kinda seems like it&#39;s one person just repeatedly asking you if you&#39;re fake to irritate you. They&#39;re a low life  who need to find better things to do than start crap on the internet with someone they&#39;re jealous of (;<br>A: hhahahaha oh i no  it does irritate me,0
Q: Hahaha  someone said like the same thing to me VVVVV &#39;cause I&#39;m &quot;Married&quot; to Chris XD<br>A: hahahahahahahahahahaha people these days,0
Q: Hahaha my mom was like smile for the camera! and then we posed bahahaha. ohmygod &quot;JAC YOUR ORDER IS READY&quot;<br>A: hahahahaha  yep.r but why are you trying to be my friend? your mean to me :(r not trying to be mean.,1
Q: Hahaha ohmyGod you are an actual jerk<br>A: okay.,1
Q: hahahah  I love your Bio (; OH OH OH question.. WHY CAN&#39;T PEOPLE SPELL?! VV (:<br>A: haha they are to small minded >:D,0
Q: Hahahah  okayy! good! &#39;cause likeee; &quot;he&#39;s in looove with audrey!&quot; hahah  jus&#39;sayin&#39;.(: Buttt  yeah yeah yeah; allll because of youu. :)<br>A: hahahahahaha he is in love with everyone  hahaha i love that kid. i no i no im awesome ;),0
Q: Hahahah Tabi  they&#39;re only calling you fake because they&#39;re jealous of you! (:<br>A: hahha thanks  this is drivein my crazy hahah like wtffff,1
Q: HAHAHAHA. I LOVE how they post everything anonymously. TABI ISN&#39;T FAKE. If anyone is fake it&#39;s that Cheyenne girl. Seriously  just leave Tabi alone  you dumb good for nothing people :D<br>A: hahah thankyou!! :D,1
Q: hahahahaaha the way you were them makes you appear that way.<br>A: *wearr hmmm haha okay.r w/e,0
Q: Hahahahahhahaaha<br>A: >:l shut up dumpster baby.,1
Q: have you ever had sex?<br>A: ? no?,0
Q: Have you ever seen mike hawk? id really like that to change baby =)<br>A: hahahahahahahahahahahha,1
Q: have you ever thought about doing your brother?;o<br>A: uhh eww.,1
Q: Hello tabi which school is your favorite your old one or new one??<br>A: deffinatly my old one :) the poeple at my new one is kinda stuck up  and the school is to small for me,0
Q: hello:)<br>A: hello :),0
Q: Here&#39;s an idea  how about stop trying o get hook up with Tabitha and actually find someone who can suck you 3inches dick  hahaha doubt that will ever happen. No girl likes a pevert and a douche(:<br>A: :D your perfect.,1
Q: Hey  hey Tabi. I guess you&#39;re not supposed to trust dead people! BHHAH :D<br>A: hahahahahahahahahhahahaha lmao hahahahahah gosh i no!!!!!!!!!!!!!!!!,0
Q: Hey  stupid people! See everyone here who knows Tabi in real life? Yeah  if you&#39;re that retarded to still call her fake then you should not be operating a computer. Just saying.<br>A: hahahahahahahhhahahah oh my god i love you.,1
Q: Hey all you idiots this is Tabi&#39;s sister and I know she isn&#39;t using any fake accounts so leave her alone already?-  Sam<br>A: hahahaha thanks. they think i am using fake pictures  like this isnt me,1
Q: Hey i love daydrien too :D no homo<br>A: ahahahahahahahah :),1
Q: HEY!!TABILO! I JUST READ YOUR BIO AND I LAUGHED OUT LOUD!!I LOVE YOU   QUESTION:WHAT IS YOUR FAV.SONG/MOVIE/BOOK?I DID THE QUESTIONS IN BULK TO SAVE TIME!!!!O AND GUESS WHO IT IS !!<br>A: hahahahahha god i love you keeley  you forgot to ask it anominously  but song- i cant name you by man with robot hands  movie nightmare before christmas book- weight of silence. LOCKERBUDDIES4LIFE YO!,1
Q: hey!(: im justin<br>A: hiiii im tabiiii,0
Q: heyy!<br>A: haha hey,0
Q: Heyy.....I am so sick of all these anonymous(however you spell it) people are hating on you. EVERYONE leave Tabi alone! TEXAS does want her and her family here. AND Jack...seriously stop. Please don&#39;t hate on her. What has she ever done to you?! K thanx(:<br>A: hahahahahahaah thanks spency :DDDDD <3 you,0
Q: hi  do you like nachos?<br>A: looooooove them!,0
Q: Hi hi tabi how are you? I want to know who your best friend is?<br>A: :) hi im good  how are you?r and ahhhh i have alot of best friends.r to many to name.,0
Q: Hi tabi how&#39;s life<br>A: hey you  pretty okay.,0
Q: hi<br>A: well  hello,0
Q: hi:D<br>A: hi!!,0
Q: hmm  foohl  i said dont approve xD<br>A: hahahahah lmao sorry i deleted it  but i thought you ent like you didnt aprove of it hahah,0
Q: Hmmm...i don&#39;t know. I want to. :D<br>A: oh okaythats good,0
Q: Hoe<br>A: okay  do you really have nothing better to do  and i know who this is because there are only a couple people who dont like me  soooo. probably just say it to my face  or ill just come talk to you :),1
Q: How come there&#39;s a girl that has your pics? And she put up proof long time ago. In myyearbook.com<br>A: hahahahahahahha lmfao I HAVE A MY YEAR BOOK. that was probably mine  i stopped useing it like forever ago.,0
Q: How come ur pics r all over photobucket. And this girl name Cheyenne Lerner has a BUNCH of pictures of u! Like more than u have!<br>A: are you serious??? does she have a myspace im very confused  ill unlock my old picture album on my myspace  pics from 2 years ago  go look  and they are in photo bucket? send me a link please.,0
Q: How has 2010 been for you<br>A: lame,0
Q: How many languages do you speak?<br>A: 2 :),0
Q: how old are u ???<br>A: 14,0
Q: How would you describe  in your mind  the greatest guy in the world? What would he be like? What would he do with his time?<br>A: this would take forever hahah!! but  the perfect guy as short as i could make it would be  r himself  he wouldnt try to impress every one and he would care about everyone and not be very mean. he would be some sort of musician. or artist. super funny and great personality. i dont really care about looks. though its great if the guy could be cute.,0
Q: How would you describe your style?<br>A: just me.,0
Q: How&#39;s having like no friend&#39;s ?<br>A: hmm im not sure  i'lll tell you when that happens. i have plenty.,1
Q: I accidentally just deleted the thing you just wrote to me D: SEND IT AGIIIINNNN<br>A: hahahah what,0
Q: i bet u rite half of these to urself and put them on facebook to get attention.<br>A: oooo you caught me. bet i wrote this one to?,1
Q: I can&#39;t believe through out our entire friendship you never told me you were fake D:<br>A: haha im sorrry.. i was hopeing you wouldnt find out this way!!!,0
Q: i decided since its almost your unbirthday that im gunna send you a present<br>A: :D yay.,0
Q: I didn&#39;t say the question after the one about texas!! I promise! And I was just joking around......because u strongly dislike texas!!<br>A: hahahahha yeah yeah,0
Q: I don&#39;t fucking like like Tabitha! I don&#39;t like girls who lead on!<br>A: well.. thats..,1
Q: I don&#39;t know Tabitha in person): but Idc  I know deep down in my heart I&#39;ll love her for her <3<br>A: :) HAHAHA AWHHHHHHHHHHHHHHHHHH <3,0
Q: I dont know if the mean comments really stopped  i think you just stopped replying. and personaly i think that makes you the bigger person. you inspire me:)<br>A: haha thanks.,0
Q: I fucking hope you move you bitch!!!!<br>A: good thing your not even showing your name. and i did to you was say i didnt wanna go to brock?,1
Q: i get lost in your beautiful eyes<br>A: awhhhh thanks  who is this?,0
Q: i have been the one who has been calling you a hoe and shit cuz bitch justin has a fucking girl friend so back the fuck off and quit throwing your self at him. your a whore.<br>A: ok  i didnt no he had one.,1
Q: i know  i know  i know! :)<br>A: :D,0
Q: i like how justin calls you tabitha<br>A: hahahha i really love that hahaha :),0
Q: I like your mustcha<br>A: mmmmmkayyyyy,0
Q: i love my LDS.<br>A: <3 i love you!!!!!!!!!!!! LDS,0
Q: I love you :( but I think you don&#39;t care about me anymore.<br>A: D: well who is this?,0
Q: I love you like I love to sing. I love you like I love to swim at night. I love you like I love my kitties. I love you like how I love to day dream about you. Someday you&#39;ll realize I do love you  for now bffls I guess<br>A: well i know who this is..,0
Q: i love you tabi    and i already know you never want to talk to me again but just know ill still always be here for you. thank you for everything<3<br>A: haha ummm your welcome..?,0
Q: i love you tabi your beautiful  and the &#39;&#39;people&#39;&#39; saying that is actually one persone hahahahahah so dont worry about it  you didnt even do anything in the first place :)<br>A: hahaha yeah i know  and i figured,0
Q: i love you tabi!!! <3 (:<br>A: :) awhh,0
Q: I love you tabi!!!!<br>A: i love you to :D,0
Q: I love you Tabitha. I need you in my life. I can&#39;t be happy  knowing the girl I&#39;m in love with doesn&#39;t feel/want me</3<br>A: wellllllllllllllllll  who is this?,0
Q: I love you! You know I do. And something in my heart you still feel the same way about me but you won&#39;t admit it. You are my inspiration Tabitha I can&#39;t just stop loving you. I won&#39;t I can&#39;t. I love you to much<br>A: go tell your girl friend that.,1
Q: i love you<br>A: i love you to,0
Q: i miss you so much i just hate how i made you not like me but its my own fault im sorry i just had to say that<br>A: yepppppppp,0
Q: i see you got a volleyball net.<br>A: yep  stop useing our jokes,0
Q: i still think your hot<br>A: thanks..,0
Q: i thiink its pretty funny that your like  &quot;stfu when  you wasted your time writing that?&quot; how about you stfu and stop wasting your time replying tabi.<br>A: how about you just stop leaving stuff on my form spring? haha seriously.,1
Q: i think u and jack should date!!!:)<br>A: :) who is this? haha,0
Q: I think u nd Justin should go out. I no u like him alot tabi<br>A: hahahaahaha who are you?,1
Q: I wanna show you one of my poems I wrote to you  the day we met. The day I knew I&#39;m gonna like you till the end. And I still do. Idc If you never wanna date me ever again I don&#39;t blame you.<br>A: if this is who i think it is  you have a girl friend. you got together the day you DUMPED me for somthing STUPID.,1
Q: i wish u werre fake<br>A: ummm?,0
Q: i wish you were bi or lezbian  your pretty :)<br>A: hahahaha ummm  sorry?,0
Q: I&#39;ll send you the links. When I get on my laptop I&#39;m using my phone. She has a facebook  myspace  and my yearbook<br>A: okay thankyou  your a great help.,0
Q: I&#39;m in love with you<br>A: hmmmmmmmmmmmmmmmmmmmmmm,0
Q: i&#39;m jealous of jaybee<br>A: hahah why?,0
Q: I&#39;m not a whore :(<br>A: hahaha what???,1
Q: I&#39;m not stalking you Tab but who is this rude person? They are making me mad at how they are talking to you. I know we don&#39;t get along alot but I love you and I don&#39;t like these idiots being little b words to you. Ssaam<br>A: i love you to  and i no your not stalking me  i was kidding. but its only one person. and yeahhh,0
Q: I&#39;m texting you right now  if you don&#39;t respond I&#39;m going to burn down your house  because I&#39;m mean<br>A: :( is this pryce.??,1
Q: id say they probably deserved to be torn down if it was done by you. your the nicest person i know  dont let anyone tell you other wise. even that LITTLE VOICE IN YOUR HEAD that can sometimes put you down. because trust me  they clearly dont know you. <3<br>A: :) hey thank you  that means alot. is this who i think it is?r but really thank you,0
Q: If anyone hurts Tabi  i will come to where ever you are and hurt you  physically :D I love you Tabbbbbi. (:<br>A: hahaha love you to :Dr remeber i got a camo shovel ;DDDr your the best.,0
Q: if i gave you 5 dollars would you lick my candycane??????       (GIGGIDY)<br>A: eric SHUT UP,1
Q: if i saw you without clothes i would baite as in master<br>A: eww. stfu. perv.,1
Q: if you and jaybee got married and have kids i actually think  the kids would be cute. just saying.<br>A: hahahaha thankyou.,0
Q: If you could ask George W. Bush one question what would it be?<br>A: can you travel around the world in 80 days,0
Q: If you could ask God one question what would it be?<br>A: why,0
Q: If you could be any celebrity for a day  who would you be?<br>A: christofer drew  :) hahahar no doubt.,0
Q: If you could eat dinner with any person  dead or alive  who would it be and where would you go?<br>A: oh oh  christofer drew. at dennys. hahaha or hitler and jesus at the same time cuz jesus is a jew and i wanna see how that would turn out and we would eat at einstins house so he could think of something smart,1
Q: If you could fix one thing about your life what would it be?<br>A: i would probably make it so the people in my family were happy.,0
Q: If you could go on a road trip with any person  dead or alive  who would it be and where would you go?<br>A: mclaine  idk.down the street,0
Q: If you could have a super power  what would it be?<br>A: to read peoples minds,0
Q: If you could have an endless supply of any food  what would you get?<br>A: cucumbers and viniger,0
Q: If you could instantly become fluent in another language  which language would you pick?<br>A: italian  french  or better at sign language,0
Q: If you could know the future but not change it would you still want to know what it is?<br>A: yes,0
Q: if you could live anywhere in the world where would you live<br>A: ummmmmm  i would like to move back to idaho falls because it was really pretty and i miss all my friends.. but i guess california or new jersey or new york would be cool. :) p.s. who is this? i love the questions,0
Q: If you could only watch one TV show what would it be?<br>A: the office 100%,0
Q: If you could rid the world of one thing  what would it be?<br>A: alcohol.,0
Q: If you could wake up as anyone tomorrow  who would it be?<br>A: christofer drew  or my sister,0
Q: if you didnt notice tabi. i was trying to say a definition of something. i wasnt saying anything mean to you so dont tell me to stfu k? i wasnt being mean or nice. so just stop.<br>A: alright  just stop talking to me okay? hahaha,1
Q: If you had threee wishes what would they be<br>A: 1. TO GO TO IDAHOr 2. TO GO SEE MY IDAHO FRIENDSr 3. TO MOVE TO IDAHO,0
Q: If you know that down the road there was a business that dismembered baby boys and girls each week would you do something to stop it from continuing? And would you be a bad person if you didn&#39;t try to stop it?<br>A: i would probably try about 2050965967 ways to stop it. ninja to protest. and i would be disapointed in whoever didnt try.,0
Q: If you people really still think that Tabi&#39;s fake  go look at her dang MySpace. -.-<br>A: hahahaahha i  know  myspace.com/tabiisaninja,0
Q: If you people really still think that Tabi&#39;s fake  go look at her dang MySpace. -.-<br>A: hahahaahha i know  myspace.com/tabiisaninja,0
Q: If you went to the doctor and found that you had at most one year left to live what would you spend your last year doing?<br>A: well what does the dotor part have anything to do with it? hahahahahahhahaa but i think i would go around and do whatever i wanted and i wouldnt worry about getting in trouble. maybe get a peircing and talk to some of the boy i didnt think id have a chance with. oh and go to the beach. hang out with my sister.,1
Q: If you were given a brand new yacht  what would you name it?<br>A: a what?,0
Q: If you&#39;re from Africa why are you white?<br>A: samanthaaaaaaaaaa,0
Q: If your gonna call someone fake .. at least speel it right ... geez ... ily Tabiaah!!<br>A: hahaha yeahhh,1
Q: im trying to be a gentle men so please dont make me ask again<br>A: hey hey this is from skin and bones by romance on a rocket ship. i love that song,0
Q: It&#39;s fine  i think ima go though my eyes are getting heavy. But  text me when you&#39;re off. If I don&#39;t reply im asleep.<br>A: okay :),0
Q: its prolly not who you think it is.. i just wanted you to know what i thought :)<br>A: well,0
Q: its prolly not who you think it is.. i just wanted you to know what i thought :)<br>A: welll,0
Q: Jac...bahahaha<br>A: lmao  i thought he spelled it some way messed up way. but lmao and you like i'll have 8says order8 and thats jack  j-a-c-k. then your mom-he knows how to spell jack. hahahahahaha,0
Q: jack needs to grow a few!<br>A: lmao hahahahahhaahah who is this :)r but ha yeahh,1
Q: just checking if your like a chomo or something ha. good thing you said ew.<br>A: yeah good thing,0
Q: just so you know scarlett wasnt on when that was wrote.<br>A: oh okay :) sorry.,0
Q: justin likes you.<br>A: good im glad he does  id be sad if my husband didnt like me  we would have to get a divorce.r i'd be sad if any of my friends didnt like me.,0
Q: l<br>A: :),0
Q: Leave Tabi alone  I know for a FACT she hasn&#39;t done anything to you. Pretty sure it&#39;s pathetic you&#39;re saying this shit anomalously because you don&#39;t have the balls to say it to her face. Who&#39;s fake now? Grow a pair and shut the hell up. We don&#39;t CARE.<br>A: <3 i love you jo,1
Q: Leave Tabitha alone perverts. She&#39;s not the type of girl  where she just want sex. She&#39;s a sweet heart  so don&#39;t fucking mess with her.<br>A: :D your my hero<3 thankyou.r i love you husband.,1
Q: Leave Texas bitch!! No one here wants you!! Quit hating on Texas and Brock  we were perfectly fine without you BITCH! ... sooo LEAVE!<br>A: okay  buy me a plane tickettttttttttttttttt  thankyou,1
Q: Let&#39;s get married?<br>A: awhh i would saw lets! but i have a husband d:,0
Q: lmao thanks for saying im pretty  come talk to me? :)<br>A: your welcome :) sureee,0
Q: LMAO why would tabi be fake? hahahaha it cracks me up that they put up YOUR picture but put up a different name hahahaha thats low. so. back to a question cuz thats what these are for: hmmm.. do you like caramal apples?<br>A: exactly  ugh it makes me mad we went to effing school together and they dont belive it hahah oh welllllllllllll.r why yes yes i do  and i like lemon drops,1
Q: LMAO why would tabi be fake? hahahaha it cracks me up that they put up YOUR picture but put up a different name hahahaha thats low. so. back to a question cuz thats what these are for: hmmm.. do you like caramal apples?<br>A: lmfao i no right. gosh its making me mad. yes  yes i do. haha i also like lemon drops XD,0
Q: maryy me tabi<br>A: noooooooooooooo you dont have a name,0
Q: Naw nee naw nee naww neee<br>A: SAMANTHA YOU WHORE,1
Q: never mindVVV<br>A: okay ha,0
Q: nice friends .. oh wait :/ srrrry my b<br>A: huh?,0
Q: no  i mean LIKE LIKE<br>A: haha okay.r we are friends.,0
Q: No no no(: FUCK the people who are dicks to you you(; jk<br>A: hmmmm,1
Q: No. It&#39;s not Pryce<br>A: oh sorry it was jack  im not use to hime actually talking to me like im a human.,0
Q: Nuu-uhh! When!<br>A: mmmmmm it was awhile ago like idk really. haha but he kept textin me offa dk phone likeeeee 3 weeks ago maybe  buhh dont worry it was just friendly friend stuff haha :) i member how you guys ment ;D,0
Q: oh well you should really watch jar squatter sick video sick as in holy shit i cant believe he did that... i dare you to watch it and not look away are you up to the challenge?<br>A: haha no im not lmao,0
Q: Oh wow haha i just read that  guy/girl&#39;s(?) poem Love how my name is in it i feel honored jk<br>A: hahahahahaahaha is this dakota silvey?,0
Q: OH YEAH  Love Jo (: <3<br>A: <3 hahahahhahah thakssssssssssssss,0
Q: Okay so I am pretty much ridiculously jealous of you. You&#39;re so pretty!<br>A: hahahha thank you :),0
Q: OKAY. i was kidding down there lol. but 2 the other ppl that are being serious..SCREW-YOUR-SELFS. shes sooo pretty and you dont need 2 be sittinghere being mean to my friend!! your just jealous ur not as pretty as her (: <3 you tabi!!<br>A: awhhh thank you jordy.. :),0
Q: Okeyyy honestly now I think this stupid person is just making up stuff cause she/he wont send you the link. Probably just trying to create drama and such. Maybe trying to make you worry? I dunno. Butttt anyways I love you TabiLou (;<3<br>A: haha yeah probably.,0
Q: Omg all these Texans are so sensitive!<br>A: lmao i no hahahahahhahahahahahaha thats what im sayin,0
Q: People actually remembering you mentioning male attention specifially; &quot;Six flags blah blah&quot; and what not is kind of creeeeepy! And I sense major jealousy. I guess boys don&#39;t flirt with them? Pathetic. --Sam<br>A: hahahaha true lady goo goo,0
Q: people you really dont have anythng better todo with yr lives thn mess with tabi?follow these steps.1:shut up 2:getalife 3:stop telling tabi shes a fake and that shes ugly 4:realize that the only reason you are mean is because your insecure!!falloffacliff<br>A: hhahahahahha thankyou :) LOCKERBUDDIESFORLIFE.,1
Q: pokemon yes or no?<br>A: yesss,0
Q: Quit being mean to me and I will be happy!!!!!!!!!!!!!!!<br>A: jack  im not being mean. im simply not going to do that.,0
Q: quit fishing for compliment and saying your ugly  it&#39;s so annoying<br>A: wellll  im not fishing for any  your annoying  go do something else than be rude to me.,1
Q: Quit trying to make everyone feel sorry for you<br>A: hahaha okay? i dont hah,0
Q: r Has anybody ever told you that &quot;you could do so much better&quot; about a person?<br>A: yeah... even though i really couldnt.,0
Q: r u g00d at art<br>A: ummmm  people tell me i am. but i dont really show alot of people my stuff.,0
Q: r u in love with someone anonymously?<br>A: what?,0
Q: r Who&#39;s the biggest douche bag that you know?<br>A: you.,1
Q: Really? Because i know many people who dont like you. Most of them claim to be your friend. Sooooo  stfu :)<br>A: hahaha why are you telling me to stfu when you wasted your time writeing that? lmao okkkaaayy jordin.,1
Q: Say there is a man standing in front of you with $1 000 000 and he says &quot;To have this money all you gotta do is give me a blow job that lasts at least 10 minutes.&quot;  Do you give the guy a $1 000 000 blow job or not?<br>A: stfu,1
Q: Screw the people who are dicks to you. :D<br>A: :) amen! haha,1
Q: Seriously  leave Tabi alone. WTF VVVVV<br>A: exactly lmao  and i no who said that and he/she does it all the time  ill text you who  :),0
Q: She is whatever the Hell she wants to be  and not one bit of that is anyone named Cheyenne!<br>A: hahahahha :),0
Q: She isn&#39;t bulmic! I made her really upset! If you want to talk shit to her  PLEASE shit talk me  instead of Tabi. So please leave her alone D:<<br>A: :)thanks.,1
Q: sing?<br>A: in the shower,0
Q: Snobby small minded people live everywhere ... you can be that way .. i can be that way ... its not just in Texas ... soo yeahhh<br>A: okay  cool.,0
Q: so  if the sexiest man alive were to rape you  would you enjoy it?<br>A: cant rape the willing.,1
Q: so i just hadda say this<br>A: ever since jordin albertsons like deleted her formspring or something  all the mean comments have stopped haha,0
Q: so i make you mad? well maybe you could find my histery book for me and cool off with some reading(:<br>A: sorry i think you left the book in the stands  get the joke right if your going to take it love :),0
Q: Someone still needs to read someone one her poems >:(  (Smiley is not pleased)<br>A: hahahahahah is this dakota? ill read you one soooon,0
Q: Sometimes I wish you&#39;ll see how I&#39;m in love with you. And I&#39;m afraid to loose you  espcially you tell Dakota your poems but not me. I know we don&#39;t know eachother that long but we did loved eachother<br>A: well if this is who i think it is  you didnt ask to see my poems  and i wrote some for you and i showed you and you didnt care much,0
Q: Sounds like an AMAZING plan :D CAN&#39;T WAIT<3<br>A: haha good me eitherrrrrr.,0
Q: Speechless... that&#39;s all I got to say couldnt think of anything to say oh ya and you still need to read me your published poem that way when your famous I can say &quot;ya I knew she was a good writer before she became famous&quot; ;)<br>A: :D hahahahahahahah,0
Q: Starbucks guy &quot;It&#39;s ten o clock we are closing&quot;  My Mom &quot;You&#39;re kicking us out&quot;<br>A: great times  lmao he spelled your name so.....WRONG lmao.,0
Q: Stop Calling Tabi &quot;Fake&quot; Obviously Your The Fake Bitch That Don&#39;t Have A Life I Don&#39;t Know Tabi But She Seems Like A Nice Person.<br>A: HAHAHAHAH thankyou  im pretty sure that the anominous person get the picture now :) ha  now i just wanna find out who cheyenne is >.<,1
Q: Stop! Leave Tabitha ALONE  she&#39;s NOT those type of girls that you can just fuck with. She just wants someone to LOVE her  and I for one aboustly love her<br>A: i love you to :)r thanks people are lameee,0
Q: Tabi  all those people who are talking shit on your formspring ANONYMOUSLY need to grow a pair. If they&#39;re gonna hate on you anonymously then they obviously have no life. Grow up  stop trying to start shit with her on the internet. I love you Tabi (:<br>A: :D awhhh thankyou  your the best :)r loveyouto:D,0
Q: Tabi  I love you. (: I will meet you one day (;<br>A: :) i lovwe you to  :) we will meet haha me jo and you could go to grannys??????????????,0
Q: Tabi  now what&#39;s going on? D: Text me. (:<br>A: hahahaha its nothing :) really. its okay.,0
Q: Tabi  text me?<br>A: suree might be a bit cuz im on thaaa phone,0
Q: TABI AND EVERYONE ELSE SHUT UP YOU&#39;RE BEAUTIFUL- sam<br>A: hahahaha thanks i think? did you call me beautiful? thats a first <3,0
Q: tabi i feel so bad about these bitchy girls who keep on saying shit to you on here  if they even knew you they would no you are the most moddest girl i have ever met.<br>A: awhhhh thank you sooo much!!! idk why people keep saying that i think im so pretty haha because i think im nothing special and then it brings me to the im fishing for compliments when im litterally not. idk who commented that  but thanks all these people need to get a life and stay out of mine because they obliously do not no me.,0
Q: tabi i think your the best but you push me away from being your friend because i did something wrong and i hate myself everyday and ive always regreted it happaneing i dont know if you know who i am but i want you too know i wish that never happened<br>A: well i think i no who this is.,0
Q: Tabi is real!!! i knew her when she lived in Idaho!-Kinly<br>A: hahaha thanksssss kinnn,0
Q: Tabi isn&#39;t fake in anyways  so go suck a fat one. SERIOUSLY. I will beat your ass. I love you Tabi<3 ((:<br>A: <3 thankyouuuuuuuuuuuuuuuuu!!!!!!!!!!!!!!!!!!,1
Q: Tabi Rocks My Socks(: Looooove Youuu ((Nahh Homoo))<br>A: hahahahahahahaha <3 you,1
Q: tabi what makes you think it was me?! come back to IF you know you want to<br>A: i do want to.. :) but who is this hahahahah,0
Q: Tabi you are so pretty :) just wanted to say that haha<br>A: haha thankyou :) omg people are being sooo nice to me haha thats sooo nice!,0
Q: TABI your a babeeee look at you its like woah! giggidy answer this question tabi is such a hot chick that she burns anyone she gets close to your hot tabi HOT HOT HOT!!!<br>A: hahahahah ummmmmmm thank you? if this is eric  i will kill myself  who is this?????????????????r but hahahhahahahhahahah this made me laugh sooooo hard.,0
Q: tabi! you&#39;re hittin&#39; on my bestttt friend! WTF. whooo cares  i love you. :)<br>A: hahahahaha >:) im evil mwahahahahahahahahaha,0
Q: Tabi&#39;s a ninja :D and I&#39;m a ninja star you spin me round and round. Lol being anonymous hides my shame for making that lame pickup line :)<br>A: hahahahahahahhahahahahahahahahahahhahahahahahahahahahahaahahhahaahhahahaahahahaaaaaa!!!!!!!!,0
Q: Tabi. If you stopped hating on Texas everyone from Texas will stop getting pissed....so just stop.? It&#39;s that easy<br>A: ummmm jack screw you  not my fault people get mad about a stupid state. and also its a inside joke so every one is lame.,0
Q: Tabi. You know I like u  but I&#39;m starting to get that u don&#39;t like me. I like you alot. Justin boy is just some crush  while I&#39;m open right here ready to love u. Pryce<br>A: ugh.. r well  okay cool that you like me thanks. but being rude doesnt help anything nor is it going to get me to like you. sorry if that sounds mean.,0
Q: TABIAHHHH...<br>A: ammmmmbbaaaaaa,0
Q: Tabigale<br>A: jack.,0
Q: Tabitha  I love you. Please come into my life and love me. You are my life  it kills me that you don&#39;t love me back :(<br>A: hmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,0
Q: Tabitha  ISNT a fake.people steal her pictures and put it on photobucket maybe. But she is the ONLY real deal. Keep accusing her she&#39;s fake  then get off her formspring. She knows who she is. So fuck off<br>A: amen  <3,1
Q: Tabitha Jai Locascio I love you sooo much <3<br>A: okay,0
Q: Tabithaaaaaa I love youuuuuuuuuuuuuu <3<br>A: :D i love you to<3,0
Q: tabither youd be good at this.. do you grind you know what grinding dancing is? at the shilo?<br>A: hahah yeah i no what that is  but i dont live in if anymore to go to the shilo,1
Q: tell me this bra why is you so awsomeeeeeee?? you is the best love youu<br>A: hahahahahahahahahahahahahhahaha love you to :),0
